profile	date	depth	temperature	salinity	density	chlorophyll
3	10/1/2015	79.537848	24.435	40.223	27.47085473	0.3822
3	10/1/2015	81.57728	24.375	40.225	27.49074296	0.4074
3	10/1/2015	83.616712	24.242	40.231	27.53592092	0.3801
3	10/1/2015	85.656144	24.026	40.238	27.60692467	0.4725
3	10/1/2015	87.695576	23.88	40.235	27.64884468	0.6867
3	10/1/2015	89.735008	23.757	40.241	27.69051166	0.7245
3	10/1/2015	91.77444	23.725	40.241	27.70014703	0.7371
3	10/1/2015	93.813872	23.692	40.241	27.71007524	0.7812
3	10/1/2015	95.853304	23.634	40.241	27.72750449	0.7791
3	10/1/2015	97.892736	23.559	40.243	27.75152391	0.7098
3	10/1/2015	99.932168	23.476	40.251	27.78245401	0.609
3	10/1/2015	101.9716	23.41	40.261	27.80977854	0.5964
3	10/1/2015	104.011032	23.331	40.269	27.83942485	0.4956
3	10/1/2015	106.050464	23.222	40.279	27.87946336	0.4095
3	10/1/2015	108.089896	23.171	40.289	27.90221353	0.3339
3	10/1/2015	110.129328	23.142	40.295	27.91538016	0.2919
3	10/1/2015	112.16876	23.095	40.302	27.93463412	0.2793
3	10/1/2015	114.208192	23.07	40.306	27.94507939	0.2772
3	10/1/2015	116.3495956	23.059	40.307	27.94909568	0.2835
3	10/1/2015	118.287056	22.964	40.322	27.988586	0.2835
3	10/1/2015	120.326488	22.924	40.327	28.00419245	0.2772
3	10/1/2015	122.36592	22.878	40.335	28.02383743	0.2478
3	10/1/2015	124.405352	22.84	40.341	28.03959099	0.2415
3	10/1/2015	126.444784	22.788	40.353	28.06401561	0.2226
3	10/1/2015	128.484216	22.759	40.358	28.07634049	0.2226
3	10/1/2015	130.523648	22.72	40.366	28.09387686	0.1932
3	10/1/2015	132.56308	22.704	40.369	28.10085338	0.1785
3	10/1/2015	134.602512	22.698	40.369	28.10261266	0.1869
3	10/1/2015	136.641944	22.694	40.369	28.10378536	0.1869
3	10/1/2015	138.681376	22.689	40.37	28.10601234	0.1995
3	10/1/2015	140.720808	22.678	40.371	28.1099975	0.1785
3	10/1/2015	142.76024	22.638	40.375	28.12475813	0.1827
3	10/1/2015	144.799672	22.573	40.385	28.15138354	0.1722
3	10/1/2015	146.839104	22.516	40.395	28.17564357	0.1638
3	10/1/2015	148.878536	22.491	40.401	28.18750564	0.1617
3	10/1/2015	150.917968	22.462	40.407	28.20052889	0.147
3	10/1/2015	152.9574	22.434	40.413	28.21325487	0.1407
3	10/1/2015	154.996832	22.42	40.416	28.21961574	0.1386
3	10/1/2015	157.036264	22.399	40.421	28.22953525	0.1113
3	10/1/2015	159.1776676	22.383	40.424	28.23647421	0.1008
3	10/1/2015	161.115128	22.355	40.431	28.249946	0.0861
3	10/1/2015	163.15456	22.344	40.433	28.25466561	0.0693
3	10/1/2015	165.193992	22.341	40.434	28.2562989	0.0651
3	10/1/2015	167.233424	22.335	40.435	28.25880348	0.0651
3	10/1/2015	169.272856	22.323	40.438	28.26457367	0.0567
3	10/1/2015	171.312288	22.31	40.441	28.27063308	0.0609
3	10/1/2015	173.35172	22.3	40.443	28.27505893	0.0462
3	10/1/2015	175.391152	22.296	40.444	28.27698144	0.0504
3	10/1/2015	177.430584	22.281	40.447	28.28361841	0.042
3	10/1/2015	179.470016	22.255	40.452	28.29496623	0.0294
3	10/1/2015	181.509448	22.236	40.456	28.3035195	0.021
3	10/1/2015	183.54888	22.211	40.461	28.3145693	0.0168
3	10/1/2015	185.588312	22.202	40.462	28.3179365	0.0189
3	10/1/2015	187.627744	22.188	40.465	28.32427387	0.0168
3	10/1/2015	189.667176	22.177	40.467	28.32898008	0.0147
3	10/1/2015	191.706608	22.145	40.473	28.34280437	0.0189
3	10/1/2015	193.74604	22.128	40.476	28.35000257	0.0168
3	10/1/2015	195.785472	22.098	40.481	28.36247594	0.0168
3	10/1/2015	197.824904	22.085	40.484	28.36851415	0.0126
3	10/1/2015	199.864336	22.073	40.487	28.37426269	0.0147
3	10/1/2015	201.903768	22.067	40.488	28.37675548	0.0126
3	10/1/2015	203.9432	22.06	40.489	28.37953635	0.0126
3	10/1/2015	206.0846036	22.052	40.49	28.38260515	NA
3	10/1/2015	207.7161492	22.039	40.492	28.38787677	NA
